"study","has_followup","n","age_mean","female_percent","cognition_mean","low_education_percent","mid_education_percent","high_education_percent"
"China",0,4686,58.6393512590695,50.5761843790013,7.45134443021768,84.5283824157064,11.5450277422108,3.9265898420828
"China",1,15329,59.7135494813752,50.6947615630504,7.09413529910628,87.481244699589,10.6921521299498,1.82660317046122
"USA",0,6456,60.0125464684014,53.2372986369269,9.18835192069388,20.3221809169765,31.0408921933086,48.636926889715
"USA",1,22514,63.8815403748767,58.1016256551473,9.95829261792667,19.7832459802789,34.0277160877676,46.1890379319535
"England",0,3758,61.4850984566261,52.1820117083556,9.47817988291648,38.7174028738691,46.4342735497605,14.8483235763704
"England",1,13194,61.5280430498709,53.7138093072609,10.1977413976049,36.0845839017735,47.1274821888737,16.7879339093527
"Europe",0,47681,65.1331557643506,53.3860447557727,8.26664709213316,39.5545395440532,40.3242381661458,20.121222289801
"Europe",1,93605,63.6119651728007,56.0546979328028,8.89207841461489,40.9540088670477,37.8270391538913,21.218951979061
