"study","n_obs","n_people","min","p01","p05","p25","median","p75","p95","p99","max","pct_eq1","pct_gt2","sum_w","sum_w2","ESS","ESS_pct"
"China",46754,15329,0.456862872902033,0.830735783088069,0.883884025819579,0.959255194021541,1,1,1.06857477381324,2.44273703146922,3.14988038294578,32.8,1.4,47407.3020723163,50529.0144487404,44478.4509315096,95.1
"USA",100829,22514,0.0552844624887263,0.807427331093048,0.871372554115973,0.952407901434965,0.991216799449719,1,1.01580096776512,1.79410944221554,3.14988038294578,22.3,0.7,99531.1766755369,100598.018176048,98475.6490240244,97.7
"England",72704,13194,0.00815253793833246,0.265352584021484,0.396010807587005,0.701145539732982,0.905969985802141,1,1.57178559842844,3.0578173384009,3.14988038294578,18.1,3.7,65444.4956300691,71889.0381969946,59577.6785403311,81.9
"Europe",322139,93605,0.023858807881711,0.476968883758561,0.606771992478933,0.827131450435221,0.967171017378542,1,1.99061125518531,3.14988038294578,3.14988038294578,29.1,4.9,330627.247694068,406513.574864645,268907.076360617,83.5
